0.1450, 0.9969
0.3662, 0.9802
0.5566, 0.9504
0.6942, 0.9176
0.8578, 0.8908
1.0129, 0.8690
1.1635, 0.8432
1.2890, 0.8176
1.4611, 0.7971
1.5650, 0.7738
1.6421, 0.7461
1.7532, 0.7138
1.7550, 0.6869
1.8076, 0.6622
1.8243, 0.6339
1.8578, 0.6039
1.8913, 0.5780
1.8913, 0.5455
2.0862, 0.5129
2.3681, 0.4973
2.6259, 0.4860
2.8449, 0.4670
3.1210, 0.4654
3.3970, 0.4609
3.6103, 0.4518
3.6480, 0.4320
3.6965, 0.3954
3.7232, 0.4145
3.9742, 0.3835
4.2503, 0.3735
4.8024, 0.3670
5.0199, 0.3476
5.1587, 0.3353
5.3921, 0.3310
5.4768, 0.3057
5.5427, 0.2765
5.7309, 0.2570
6.0070, 0.2541
6.2830, 0.2499
6.5591, 0.2496
6.8351, 0.2496
7.0735, 0.2429
7.2562, 0.2234
7.5262, 0.2142
7.7714, 0.1942
8.0648, 0.1916
8.3408, 0.1855
8.6169, 0.1771
8.9145, 0.1685
9.1690, 0.1699
9.4451, 0.1634
9.7211, 0.1611
9.9972, 0.1524
11.0778, 0.1381
11.9080, 0.1380
12.2056, 0.1334
15.2437, 0.0877
20.4118, 0.0838
