MOC1_Control,,MOC1_TIL_10,,MOC1_TIL_GMDSC,,MOC1_TIL_GMDSC_SEMA4DmAb,,MOC1_GMDSC,
X,Y,X,Y,X,Y,X,Y,X,Y
0,5.021201413427563,0,5.021201413427563,0,5.021201413427563,0,5.021201413427563,-0.006849315068493178,5.021201413427563
0.17123287671232879,5.491166077738518,0.17123287671232879,4.922261484098941,0.1643835616438356,5.194346289752651,0.1643835616438356,4.946996466431097,0.1643835616438356,5.392226148409895
0.3356164383561645,6.035335689045938,0.3356164383561645,4.699646643109542,0.3287671232876713,5.293286219081273,0.3356164383561645,4.872791519434631,0.3287671232876713,5.837455830388694
0.5000000000000002,6.530035335689048,0.5000000000000002,4.4275618374558325,0.49315068493150704,5.59010600706714,0.5000000000000002,4.526501766784454,0.5000000000000002,6.4063604240282706
0.7534246575342467,6.727915194346293,0.7534246575342467,3.5123674911660805,0.7534246575342467,5.515901060070674,0.7465753424657535,3.784452296819791,0.7465753424657535,7.024734982332157
1.0000000000000002,6.925795053003537,1.0000000000000002,2.201413427561839,1.0000000000000002,5.342756183745586,1.0000000000000002,3.487632508833925,1.0068493150684932,7.024734982332159
1.2534246575342467,6.851590106007071,1.2534246575342467,1.3851590106007103,1.2534246575342467,4.99646643109541,1.2534246575342467,3.091872791519439,1.26027397260274,6.950530035335692
1.5068493150684934,6.950530035335694,1.5068493150684934,0.9151943462897574,1.5000000000000004,4.823321554770322,1.5068493150684934,2.91872791519435,1.5000000000000004,6.802120141342761
1.753424657534247,7.000000000000005,1.753424657534247,0.49469964664311483,1.7602739726027403,4.996466431095412,1.753424657534247,2.6466431095406406,1.753424657534247,6.727915194346295
2,6.92579505300354,2.0068493150684934,0.4204946996466479,2.0068493150684934,4.6254416961130795,2.0068493150684934,2.7950530035335746,2,6.851590106007073
