MOC1_Control,,MOC1_TIL_10,,MOC1_TIL_GMDSC,,MOC1_GMDSC,
X,Y,X,Y,X,Y,X,Y
-0.0050675675675675436,3.0967147499405563,0,3.096774193548387,0,3.1143695014662756,0,3.1143695014662756
0.08108108108108114,3.396845525877783,0.0760135135135136,2.6225925338828553,0.0760135135135136,3.097665847665847,0.08108108108108114,3.203297138781009
0.16216216216216228,3.767298089878735,0.16216216216216228,2.1309344535150982,0.16216216216216228,3.186652928588412,0.16216216216216228,3.4857731631925173
0.3293918918918919,4.191547118966474,0.3293918918918919,1.6402274708726319,0.3293918918918919,3.3117817230720448,0.33445945945945965,3.980462867559641
0.4966216216216217,4.475033684711104,0.4966216216216217,1.167115796148054,0.5016891891891893,3.401779345327732,0.4966216216216217,4.387057145121661
0.7500000000000002,4.882697947214076,0.7500000000000002,0.9589442815249267,0.7500000000000002,3.6862170087976533,0.7500000000000002,4.724340175953079
0.9983108108108112,5.25511215027344,0.9983108108108112,0.7683086312118572,0.9983108108108112,3.79470159308869,0.9983108108108112,4.955991915669334
1.2516891891891893,5.539609257351192,1.2516891891891893,0.6833042720139488,1.2516891891891893,3.7096972338907817,1.2516891891891893,5.275679638582863
1.5000000000000004,6.035190615835777,1.5000000000000004,0.5982404692082115,1.5000000000000004,3.6070381231671558,1.5000000000000004,5.736070381231672
