0.0120, 1.0022
0.1524, 0.9977
0.3377, 0.9861
0.4426, 0.9801
0.5385, 0.9711
0.7320, 0.9678
0.9243, 0.9562
1.1094, 0.9492
1.1245, 0.9398
1.1715, 0.9330
1.1942, 0.9260
1.2335, 0.9215
1.2825, 0.9164
1.2956, 0.9076
1.3242, 0.8995
1.3554, 0.8796
1.4061, 0.8695
1.4794, 0.8514
1.5856, 0.8342
1.6408, 0.7987
1.6795, 0.7816
1.7138, 0.7561
1.7270, 0.7196
1.7820, 0.6723
1.8155, 0.6242
1.8462, 0.5741
1.8856, 0.5338
1.9208, 0.4940
1.9651, 0.4781
2.0111, 0.4461
2.0715, 0.4317
2.0972, 0.4092
2.1197, 0.3988
2.1888, 0.3903
2.2364, 0.3834
2.2674, 0.3764
2.3090, 0.3663
2.4555, 0.3596
2.4839, 0.3533
2.5445, 0.3442
2.5769, 0.3349
2.5959, 0.3297
2.7623, 0.3210
2.9751, 0.3106
3.3176, 0.3048
3.3704, 0.2941
3.5262, 0.2800
3.5746, 0.2739
3.6611, 0.2507
3.6894, 0.2402
3.7521, 0.2346
3.9390, 0.2234
4.4916, 0.2148
4.7076, 0.2079
4.9593, 0.1992
5.4462, 0.1810
5.5103, 0.1640
5.5471, 0.1441
5.7398, 0.1385
6.6543, 0.1295
6.8940, 0.1206
8.5143, 0.1104
9.0019, 0.1103
9.8665, 0.1103
10.9531, 0.1040
11.0254, 0.0974
11.1221, 0.0924
11.1967, 0.0809
11.7940, 0.0695
14.2269, 0.0505
16.9506, 0.0503
