MOC1_Control,,MOC1_TIL_1:1,
X,Y,X,Y
0.7787838738217197,0.04779490702967237,1.0127467150175278,0.060829881674132835
2.664249123458543,0.09968886268967836,2.829399364302642,0.08444040178484258
4.480901772743653,0.14100727288342618,4.646052013587756,0.11592109526579364
6.297554422028767,0.1956066006394508,6.46270466287287,0.1626502496515787
8.114207071313881,0.2546329009162349,8.279357312157984,0.22856295162732287
9.930859720598995,0.31661051620685754,10.096009961443098,0.28217850771206976
11.74751236988411,0.39186904905975695,11.912662610728212,0.3667828714421244
13.564165019169224,0.47303021194033334,13.729315260013323,0.4548304360216573
15.380817668454334,0.5600940048485903,15.54596790929844,0.5379591422447962
17.19747031773945,0.6515847702776032,17.36262055858355,0.6279742501668899
19.014122967024562,0.7489781657342967,19.17927320786867,0.7283189606374201
20.83077561630968,0.8478472186979094,20.99592585715378,0.8350581869712688
22.64742826559479,0.9511432441822798,22.81257850643889,0.947700043332798
24.464080914879908,1.0396826945974542,24.629231155724007,0.9892995311469157
26.28073356416502,1.138551747561067,26.565158978952084,0.7878644737407132
28.09738621345013,1.26693395066307,28.262536454294235,0.5600940048485903
29.914038862735246,1.4100727288342707,30.079189103579345,0.4671275819126546
31.730691512020357,1.5871516296646195,31.895841752864463,0.43613877426734504
33.547344161305475,1.7657061880018894,33.712494402149574,0.42580917171890675
35.363996810590585,1.948687718859917,35.529147051434684,0.41843088418430874
37.1806494598757,2.165609372377096,37.3457997007198,0.41843088418430874
38.99730210916081,2.2895646029583414,39.16245235000491,0.41843088418430874
40.813954758445924,2.4400816686641384,40.97910499929003,0.41843088418430874
42.63060740773104,2.6274901720429273,42.79575764857514,0.4405657467881028
44.44726005701615,2.8222769629563125,44.61241029786025,0.4508953493365393
46.26391270630127,2.932951275975279,46.42906294714537,0.4715545544334141
48.08056535558639,3.0347716439527304,48.245715596430486,0.48631112950260835
49.89721800487149,3.139543326944022,50.06236824571559,0.5128729646271637
51.71387065415661,3.2207044898245982,51.87902089500071,0.5246782246825177
53.530523303441726,3.3180978852812917,53.695673544285825,0.5482887447932328
55.34717595272683,3.450907060904056,55.51232619357094,0.5778018949316248
57.16382860201195,3.57338663397838,57.328978842856046,0.6102663600838554
58.980481251297064,3.7135740971357407,59.14563149214116,0.6353525377014879
60.79713390058218,3.8626155053346167,60.96228414142628,0.6663413453467992
62.613786549867285,4.045597036192648,62.7789367907114,0.7032327830197875
64.4304391991524,4.255140402175227,64.5955894399965,0.7356972481720181
66.24709184843752,4.476489028213166,66.41224208928162,0.7755400008588484
68.06374449772264,4.770144872090162,68.22889473856674,0.8139070960387578
69.88039714700774,5.0608494009533205,70.04554738785184,0.8581768212463459
71.69704979629286,5.326467752198846,71.86220003713696,0.8994952314400937
73.51370244557798,5.5847078159097725,73.67885268642208,0.9511432441822798
75.33035509486308,5.795726839399273,75.4955053357072,1.0027912569244641
77.1470077441482,5.959524822667348,77.3121579849923,1.0573905846804887
78.96366039343332,6.151360298566893,79.12881063427741,1.1046116249019153
79.95456183849792,6.229570146433631,,
